,var,n,dev,yval,splits.cutleft,splits.cutright,yprob.Absence,yprob.Presence
1,Cropland,255,353.469767,Absence,<0.404094,>0.404094,0.50588235,0.49411765
2,ET,115,125.347919,Absence,<0.000118497,>0.000118497,0.76521739,0.23478261
4,<leaf>,104,92.636041,Absence,,,0.83653846,0.16346154
5,<leaf>,11,6.701994,Presence,,,0.09090909,0.90909091
3,NPP,140,169.313239,Presence,<3.565e-008,>3.565e-008,0.29285714,0.70714286
6,<leaf>,90,87.229409,Presence,,,0.18888889,0.81111111
7,<leaf>,50,69.234697,Presence,,,0.48,0.52
