,var,n,dev,yval,splits.cutleft,splits.cutright
1,ET,33,629.6818,0.289473722,<8.885e-005,>8.885e-005
2,<leaf>,17,543.7647,0.204819275,,
3,<leaf>,16,14.4375,0.516129032,,
