,var,n,dev,yval,splits.cutleft,splits.cutright
1,HDI,263,87.026717,0.111670119,<0.741053,>0.741053
2,HDI,257,70.161647,0.108192732,<0.434536,>0.434536
4,NPP,118,30.593197,0.090177367,<1.745e-008,>1.745e-008
8,<leaf>,21,8.565802,0.147403227,,
9,<leaf>,97,15.858772,0.0810766,,
5,<leaf>,139,32.330918,0.126283961,,
3,<leaf>,6,5.591237,0.432931357,,
