Arable,Vegetation,Pasture,Soil
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
0.0,0.0,0.0,-3.4e+38
