"","var","n","dev","yval","splits.cutleft","splits.cutright","yprob.FALSE","yprob.TRUE"
"1","Pre",601,537.80286,"FALSE",<0.544307,>0.544307,0.83527454,0.16472546
"2","Intense",542,393.58345,"FALSE",<0.0802133,>0.0802133,0.88191882,0.11808118
"4","<leaf>",169,  0.00000,"FALSE",,,1.00000000,0.00000000
"5","Pre",373,341.95556,"FALSE",<0.144128,>0.144128,0.82841823,0.17158177
"10","<leaf>",236,117.00965,"FALSE",,,0.93220339,0.06779661
"11","<leaf>",137,177.46220,"FALSE",,,0.64963504,0.35036496
"3","<leaf>", 59, 79.72847,"TRUE",,,0.40677966,0.59322034
